date,V_t,E_t,D_t,R_t
2020-09-20,185,1071,0.06292596944770858,0.7292250233426704
2020-09-21,185,987,0.05799059929494712,0.713272543059777
2020-09-22,189,976,0.05493639536192727,0.6915983606557377
2020-09-23,189,1004,0.0565124394911629,0.704183266932271
2020-09-24,191,1067,0.058804078258473405,0.7197750702905342
2020-09-25,192,1118,0.060972949389179756,0.7307692307692307
2020-09-26,186,1095,0.06364428945074106,0.7287671232876712
2020-09-27,183,1075,0.06455293340539242,0.718139534883721
2020-09-28,192,1033,0.05633726003490401,0.6882865440464666
2020-09-29,192,969,0.05284685863874346,0.7048503611971104
2020-09-30,185,1012,0.05945945945945946,0.7124505928853755
2020-10-01,193,1085,0.05856001727115717,0.7059907834101382
2020-10-02,197,1153,0.059722366103801924,0.7432784041630529
2020-10-03,194,1141,0.06094759895304738,0.7326906222611744
2020-10-04,189,1107,0.06231003039513677,0.7344173441734417
2020-10-05,188,1054,0.05996131528046422,0.7106261859582542
2020-10-06,187,1005,0.05778851129894773,0.6885572139303483
2020-10-07,194,1036,0.05533892420276694,0.7036679536679536
2020-10-08,194,1103,0.05891779285294589,0.699909338168631
2020-10-09,199,1163,0.05903253641947109,0.7308684436801376
2020-10-10,194,1171,0.0625500774531275,0.7224594363791631
2020-10-11,189,1119,0.0629854778790949,0.7345844504021448
2020-10-12,190,1065,0.05931495405179616,0.7098591549295775
2020-10-13,188,1006,0.05723062919558539,0.6699801192842942
2020-10-14,192,1062,0.05791884816753927,0.6939736346516008
2020-10-15,195,1111,0.05873645255088554,0.684968496849685
2020-10-16,201,1176,0.05850746268656717,0.7406462585034014
2020-10-17,195,1160,0.06132698916204071,0.7387931034482759
2020-10-18,188,1120,0.0637160086471726,0.7330357142857142
2020-10-19,188,1069,0.06081465468198885,0.7109448082319925
2020-10-20,188,978,0.055637728979406074,0.6922290388548057
2020-10-21,198,1041,0.05337640363021074,0.6897214217098944
2020-10-22,196,1093,0.057195185766614344,0.7081427264409881
2020-10-23,200,1165,0.058542713567839195,0.7347639484978541
2020-10-24,195,1134,0.05995241871530531,0.7319223985890653
2020-10-25,189,1106,0.062253743104806934,0.7242314647377939
2020-10-26,191,1068,0.058859189859465415,0.7172284644194756
2020-10-27,188,994,0.05654795767436569,0.6941649899396378
2020-10-28,195,1056,0.05582870737509913,0.7054924242424242
2020-10-30,201,1173,0.05835820895522388,0.7169650468883205
2020-10-31,194,1136,0.06068051920303402,0.7112676056338029
2020-11-01,189,1156,0.06506810762129911,0.7275086505190311
2020-11-02,194,1100,0.05875754500293788,0.7336363636363636
2020-11-03,194,1035,0.05528550825276427,0.6840579710144927
2020-11-04,196,1107,0.057927786499215074,0.7018970189701897
2020-11-05,195,1117,0.059053661115516784,0.7090420769919427
2020-11-06,202,1177,0.05797743953499828,0.7289719626168224
2020-11-07,201,1177,0.05855721393034826,0.7128292268479184
2020-11-08,190,1157,0.06443887496519075,0.7372515125324114
2020-11-09,192,1095,0.059718586387434554,0.7059360730593607
2020-11-10,199,1002,0.05086036241815137,0.6786427145708582
2020-11-11,199,1063,0.053956651946601694,0.7083725305738476
2020-11-12,197,1113,0.05765047135605511,0.6810422282120395
2020-11-13,208,1185,0.05504459308807135,0.7215189873417721
2020-11-14,197,1129,0.05847922925515384,0.6811337466784765
2020-11-15,191,1162,0.06403968035271425,0.7142857142857143
2020-11-16,193,1069,0.057696459412780655,0.7081384471468662
2020-11-17,196,959,0.050183150183150185,0.6955161626694474
2020-11-18,198,1054,0.05404296774855151,0.6992409867172675
2020-11-19,198,1057,0.05419679023739937,0.7000946073793756
2020-11-20,202,1152,0.05674597310477316,0.71875
2020-11-21,203,1098,0.05355313856508803,0.6994535519125683
2020-11-22,191,1152,0.06348856434279417,0.7256944444444444
2020-11-23,193,1055,0.05694084628670121,0.7090047393364929
2020-11-25,197,1043,0.05402465554749819,0.7123681687440077
2020-11-26,201,1056,0.052537313432835825,0.6893939393939394
2020-11-27,204,1159,0.05597411378344441,0.7152717860224331
2020-11-28,201,1132,0.056318407960199005,0.6890459363957597
2020-11-29,198,1141,0.05850381992513973,0.7221735319894829
2020-11-30,197,1086,0.05625194240132601,0.7053406998158379
2020-12-01,204,954,0.04607360185453492,0.6939203354297694
2020-12-02,196,972,0.050863422291993726,0.43930041152263377
